freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
15064.158,-138.152,-109.046,-126.151,-128.790,-130.790,-243.435,-108.884
15505.158,-138.015,-109.171,-126.151,-128.790,-130.790,-242.934,-109.004
15959.068,-137.878,-109.295,-126.151,-128.790,-130.790,-242.432,-109.123
16426.266,-137.740,-109.420,-126.150,-128.789,-130.789,-241.931,-109.243
16907.141,-137.603,-109.544,-126.150,-128.789,-130.789,-241.429,-109.362
17402.094,-137.465,-109.668,-126.150,-128.789,-130.789,-240.928,-109.481
17911.536,-137.327,-109.792,-126.150,-128.789,-130.789,-240.426,-109.599
18435.892,-137.188,-109.917,-126.149,-128.788,-130.788,-239.925,-109.718
18975.599,-137.049,-110.041,-126.149,-128.788,-130.788,-239.423,-109.836
19531.105,-136.910,-110.165,-126.149,-128.788,-130.788,-238.922,-109.954
20102.874,-136.770,-110.289,-126.149,-128.787,-130.787,-238.420,-110.072
20691.381,-136.630,-110.413,-126.148,-128.787,-130.787,-237.919,-110.190
21297.116,-136.490,-110.537,-126.148,-128.787,-130.787,-237.417,-110.307
21920.585,-136.349,-110.661,-126.147,-128.786,-130.786,-236.915,-110.424
22562.305,-136.208,-110.785,-126.147,-128.786,-130.786,-236.414,-110.541
23222.811,-136.066,-110.909,-126.147,-128.786,-130.786,-235.912,-110.658
23902.653,-135.924,-111.033,-126.146,-128.785,-130.785,-235.410,-110.774
24602.398,-135.782,-111.157,-126.146,-128.785,-130.785,-234.908,-110.890
25322.628,-135.639,-111.280,-126.145,-128.784,-130.784,-234.407,-111.006
26063.942,-135.496,-111.404,-126.145,-128.784,-130.784,-233.905,-111.121
26826.958,-135.352,-111.528,-126.144,-128.783,-130.783,-233.403,-111.236
27612.311,-135.208,-111.651,-126.143,-128.782,-130.782,-232.901,-111.351
28420.655,-135.064,-111.774,-126.143,-128.782,-130.782,-232.399,-111.465
29252.663,-134.919,-111.898,-126.142,-128.781,-130.781,-231.897,-111.579
30109.028,-134.774,-112.021,-126.141,-128.780,-130.780,-231.395,-111.693
30990.463,-134.628,-112.144,-126.141,-128.780,-130.780,-230.893,-111.807
31897.702,-134.481,-112.267,-126.140,-128.779,-130.779,-230.391,-111.919
32831.500,-134.335,-112.390,-126.139,-128.778,-130.778,-229.889,-112.032
33792.635,-134.187,-112.513,-126.138,-128.777,-130.777,-229.387,-112.144
34781.907,-134.039,-112.636,-126.137,-128.776,-130.776,-228.885,-112.256
35800.139,-133.891,-112.759,-126.136,-128.775,-130.775,-228.383,-112.367
36848.180,-133.742,-112.882,-126.135,-128.774,-130.774,-227.880,-112.478
37926.902,-133.593,-113.004,-126.134,-128.773,-130.773,-227.378,-112.588
39037.203,-133.443,-113.127,-126.133,-128.771,-130.771,-226.875,-112.698
40180.009,-133.293,-113.249,-126.131,-128.770,-130.770,-226.373,-112.807
41356.269,-133.142,-113.371,-126.130,-128.769,-130.769,-225.870,-112.915
42566.965,-132.990,-113.493,-126.128,-128.767,-130.767,-225.367,-113.024
43813.103,-132.838,-113.615,-126.127,-128.766,-130.766,-224.865,-113.131
45095.721,-132.686,-113.737,-126.125,-128.764,-130.764,-224.362,-113.238
46415.888,-132.533,-113.858,-126.124,-128.763,-130.763,-223.859,-113.344
47774.703,-132.379,-113.980,-126.122,-128.761,-130.761,-223.356,-113.450
49173.296,-132.225,-114.101,-126.120,-128.759,-130.759,-222.853,-113.555
50612.834,-132.070,-114.222,-126.118,-128.757,-130.757,-222.349,-113.659
52094.513,-131.915,-114.343,-126.116,-128.755,-130.755,-221.846,-113.762
53619.568,-131.759,-114.464,-126.114,-128.752,-130.752,-221.343,-113.865
55189.268,-131.602,-114.584,-126.111,-128.750,-130.750,-220.839,-113.967
56804.922,-131.445,-114.705,-126.109,-128.748,-130.748,-220.335,-114.068
58467.873,-131.287,-114.825,-126.106,-128.745,-130.745,-219.831,-114.168
60179.506,-131.129,-114.945,-126.103,-128.742,-130.742,-219.327,-114.268
61941.248,-130.970,-115.064,-126.100,-128.739,-130.739,-218.823,-114.366
63754.564,-130.810,-115.184,-126.097,-128.736,-130.736,-218.318,-114.464
65620.964,-130.650,-115.303,-126.094,-128.733,-130.733,-217.814,-114.560
67542.003,-130.490,-115.422,-126.090,-128.729,-130.729,-217.309,-114.655
69519.280,-130.328,-115.540,-126.086,-128.725,-130.725,-216.804,-114.750
71554.441,-130.166,-115.659,-126.082,-128.721,-130.721,-216.299,-114.843
73649.181,-130.004,-115.777,-126.078,-128.717,-130.717,-215.793,-114.935
75805.244,-129.841,-115.894,-126.074,-128.713,-130.713,-215.288,-115.026
78024.425,-129.677,-116.012,-126.069,-128.708,-130.708,-214.782,-115.115
80308.572,-129.513,-116.129,-126.064,-128.703,-130.703,-214.276,-115.203
82659.587,-129.348,-116.245,-126.059,-128.698,-130.698,-213.769,-115.290
85079.428,-129.183,-116.362,-126.054,-128.693,-130.693,-213.263,-115.375
87570.109,-129.017,-116.477,-126.048,-128.687,-130.687,-212.756,-115.459
90133.704,-128.851,-116.593,-126.042,-128.681,-130.681,-212.248,-115.542
92772.348,-128.684,-116.708,-126.035,-128.674,-130.674,-211.741,-115.623
95488.237,-128.516,-116.822,-126.029,-128.668,-130.668,-211.233,-115.702
98283.633,-128.348,-116.936,-126.022,-128.660,-130.660,-210.724,-115.779
101160.864,-128.180,-117.050,-126.014,-128.653,-130.653,-210.215,-115.855
104122.326,-128.011,-117.163,-126.006,-128.645,-130.645,-209.706,-115.929
107170.483,-127.842,-117.275,-125.998,-128.637,-130.637,-209.197,-116.000
110307.874,-127.672,-117.387,-125.989,-128.628,-130.628,-208.687,-116.070
113537.112,-127.502,-117.499,-125.980,-128.619,-130.619,-208.176,-116.138
116860.886,-127.331,-117.609,-125.970,-128.609,-130.609,-207.665,-116.204
120281.961,-127.160,-117.719,-125.960,-128.599,-130.599,-207.154,-116.268
123803.188,-126.989,-117.829,-125.949,-128.588,-130.588,-206.642,-116.329
127427.499,-126.818,-117.937,-125.938,-128.577,-130.577,-206.129,-116.388
131157.910,-126.646,-118.045,-125.926,-128.565,-130.565,-205.616,-116.445
134997.528,-126.474,-118.153,-125.914,-128.552,-130.552,-205.102,-116.499
138949.549,-126.302,-118.259,-125.900,-128.539,-130.539,-204.588,-116.551
143017.266,-126.129,-118.365,-125.887,-128.526,-130.526,-204.073,-116.600
147204.064,-125.957,-118.469,-125.872,-128.511,-130.511,-203.558,-116.646
151513.429,-125.784,-118.573,-125.857,-128.496,-130.496,-203.041,-116.690
155948.950,-125.611,-118.677,-125.842,-128.481,-130.481,-202.524,-116.731
160514.320,-125.439,-118.779,-125.825,-128.464,-130.464,-202.007,-116.769
165213.341,-125.266,-118.880,-125.808,-128.447,-130.447,-201.488,-116.804
170049.924,-125.094,-118.980,-125.790,-128.429,-130.429,-200.969,-116.836
175028.096,-124.921,-119.080,-125.771,-128.410,-130.410,-200.449,-116.866
180152.004,-124.749,-119.178,-125.752,-128.391,-130.391,-199.928,-116.892
185425.913,-124.577,-119.275,-125.731,-128.370,-130.370,-199.407,-116.915
190854.214,-124.406,-119.372,-125.710,-128.349,-130.349,-198.884,-116.935
196441.428,-124.235,-119.467,-125.688,-128.327,-130.327,-198.361,-116.952
202192.206,-124.064,-119.561,-125.665,-128.304,-130.304,-197.837,-116.966
208111.337,-123.894,-119.654,-125.641,-128.280,-130.280,-197.312,-116.977
214203.749,-123.725,-119.746,-125.617,-128.256,-130.256,-196.786,-116.984
220474.515,-123.556,-119.837,-125.591,-128.230,-130.230,-196.259,-116.989
226928.856,-123.388,-119.926,-125.565,-128.204,-130.204,-195.731,-116.990
233572.147,-123.221,-120.015,-125.537,-128.176,-130.176,-195.203,-116.988
